row_ref,full_name,academic_title,sinta_id,scopus_author_id,orcid_id,google_scholar_id,google_scholar_url,openalex_author_id,openalex_resolution_method,google_scholar_resolution_method,semantic_scholar_id,semantic_scholar_resolution_method
dosen_source.csv:17,F. Danang Wijaya,"Prof., Dr.Eng., Ir., S.T., M.T., IPM",5999249,57193707676,0000-0001-8887-6135,fS4-8JAAAAAJ,https://scholar.google.co.id/citations?user=fS4-8JAAAAAJ&hl=en,https://openalex.org/A5015090952,orcid,error,9072475,name_search
dosen_source.csv:18,Warsun Najib,"S.T., M.Sc",6010169,54420821900,0000-0003-4454-335X,dsORxFMAAAAJ,https://scholar.google.co.id/citations?user=dsORxFMAAAAJ&hl=en,https://openalex.org/A5058138529,orcid,error,1913541,name_search
dosen_source.csv:19,Addin Suwastono,"Ir., S.T., M.Eng., IPM",6019193,56516977600,,TNZgnM8AAAAJ,https://scholar.google.co.id/citations?user=TNZgnM8AAAAJ&hl=en,https://openalex.org/A5053468414,name_search,error,98397115,name_search
dosen_source.csv:20,Sarjiya,"Prof., Ir., S.T., M.T., Ph.D., IPU",6002168,25031712200,0000-0002-3025-295X,bLAJodcAAAAJ,https://scholar.google.com/citations?hl=en&user=bLAJodcAAAAJ,https://openalex.org/A5021548642,orcid,error,,error
dosen_source.csv:21,Dani Adhipta,"S.Si., M.T",6019026,36607451900,,PUg2AeYAAAAJ,https://scholar.google.co.id/citations?user=PUg2AeYAAAAJ&hl=en,https://openalex.org/A5046766022,name_search,error,50421907,name_search
dosen_source.csv:22,Widyawan,"S.T., M.Sc., Ph.D",43049,55666627500,,uPZ616oAAAAJ,https://scholar.google.co.id/citations?user=uPZ616oAAAAJ&hl=en,https://openalex.org/A5072792092,name_search,error,9424900,name_search
dosen_source.csv:23,Eka Firmansyah,"Ir., S.T., M.Eng., Ph.D., IPM",5985277,34978345200,,y2AOfwQAAAAJ,https://scholar.google.co.id/citations?user=y2AOfwQAAAAJ&hl=en,https://openalex.org/A5109926556,name_search,error,,error
dosen_source.csv:24,Hanung Adi Nugroho,"Prof., Ir., S.T., M.E., Ph.D., IPM., SMIEEE",6008762,57210591699,0000-0001-7749-8044,UTBq0lsAAAAJ,https://scholar.google.co.id/citations?user=UTBq0lsAAAAJ&hl=en,https://openalex.org/A5006699720,orcid,error,,error
dosen_source.csv:25,Indriana Hidayah,"Dr., S.T., M.T",44341,55430202100,0000-0003-4044-4987,Kwu5gpIAAAAJ,https://scholar.google.co.id/citations?user=Kwu5gpIAAAAJ&hl=en,https://openalex.org/A5024219353,orcid,error,119350811,name_search
dosen_source.csv:26,Bimo Sunarfri Hantono,"Dr., S.T., M.Eng",6010084,56121493400,,omBzmOkAAAAJ,https://scholar.google.com/citations?hl=en&user=omBzmOkAAAAJ,https://openalex.org/A5066331498,name_search,error,9127378,name_search
