lecturer_row_ref,publication_id
dosen_source.csv:2,c31f9876-2d93-48eb-88b9-3adb29013486
dosen_source.csv:2,bf5a87f1-4b4b-408c-bba1-964abfca3971
dosen_source.csv:2,40189f64-4098-4046-af6e-d26bd5a574f6
dosen_source.csv:2,609c08e0-7ef1-453b-a625-dea5f46e70b0
dosen_source.csv:2,3cf0ac6f-bbc5-4f2d-986e-50182ce9748f
dosen_source.csv:2,e5c5ff9a-57ec-4b5f-b454-a52b85a122c0
dosen_source.csv:2,295d4e03-7c41-48f4-81d5-9897243590b5
dosen_source.csv:2,676240f1-ea48-4756-8cf4-6dcad11b58ce
dosen_source.csv:2,76776666-b929-4ba9-85aa-6af7adab8aa1
dosen_source.csv:2,d7907d62-d8e0-4a7a-afe6-2691977dad47
dosen_source.csv:2,8b051b1a-b146-4276-8a5a-e3a2fb6846f2
dosen_source.csv:2,1d42c6c9-6bb5-4672-a26d-ccc90b8dd56d
dosen_source.csv:2,99dd4941-02d3-4d7d-9833-3c123a534f4e
dosen_source.csv:2,61c5b0df-bf43-405d-bb34-b685f39f0ea0
dosen_source.csv:2,81fe6ed8-9188-4128-9405-2622e3c2143f
dosen_source.csv:2,75025cc5-9dca-4a12-8777-8e31d147c234
dosen_source.csv:2,ac863fc0-6e31-4b46-872e-cc8d0a739b24
dosen_source.csv:2,0dc21107-1786-4018-b3d2-6777538e98e5
dosen_source.csv:2,1a883cc5-eff3-489f-b68f-199faf793f8c
dosen_source.csv:2,0356e117-75e3-4bae-a01b-0d8838126167
dosen_source.csv:2,fed9a36d-5778-42c6-904a-341783d14175
dosen_source.csv:2,c8810df5-ea52-4f23-946a-4d97c27dfb1a
dosen_source.csv:2,ee1b3041-79fc-4d63-892c-08e80902b0b5
dosen_source.csv:2,0fc230e3-6f13-4bdb-8393-85a36ec9eea5
dosen_source.csv:2,22c6b0e4-d419-4464-bc50-dfd857918956
dosen_source.csv:2,44a530b4-aad4-492c-b0e2-081fff9157e3
dosen_source.csv:2,ac3f95c5-b050-4932-b406-c22a5a86b842
dosen_source.csv:2,f8392de8-4749-4be7-8dc5-60f64abf30af
dosen_source.csv:2,2f547684-3e91-48f2-b65c-424b32ebb288
dosen_source.csv:2,073af729-a1ad-4770-a8d3-c3f42f61f342
dosen_source.csv:2,aa6e221d-f191-4401-ba8e-ee1d22d02916
dosen_source.csv:2,32907c87-6612-4577-8d7e-d1c117d20b29
dosen_source.csv:2,a9246211-16b6-4710-826c-079874edc6f6
dosen_source.csv:2,8cfb6aa3-d0dc-4c61-9b9f-cfddb4c7b4b4
dosen_source.csv:2,29bb45cd-c6ea-446d-b680-eb1176661c9c
dosen_source.csv:2,40b98e58-b2f4-4d19-89ba-e2e1fd49b041
dosen_source.csv:2,e54cd78d-ad8d-4cea-8918-f3afc5e07121
dosen_source.csv:2,ac65f576-8059-4795-bde6-d0ea770f5a8f
dosen_source.csv:2,328c18b5-18a1-4bed-8dc3-f498c704a454
dosen_source.csv:2,27bc199a-6496-487b-83b0-48588bc83063
dosen_source.csv:2,19741e5b-93fb-412a-8ce7-eb889050db29
dosen_source.csv:2,961fd304-806e-4e05-8a1a-98a21385892f
dosen_source.csv:2,395666c6-14dd-45a0-a2f9-63f38b23a1f5
dosen_source.csv:2,5039c31d-1457-4bec-a947-1263c01fdd5e
dosen_source.csv:2,588ec1d3-1510-4866-bb55-fcff35f6ebcb
dosen_source.csv:2,d1d6758c-ec2f-4945-9a4f-8af3009c496b
dosen_source.csv:2,a8ede23a-5968-437b-aeab-5b23dfbeb5fa
dosen_source.csv:2,0de3e73b-3d5b-42d9-a845-5769e5e2294b
dosen_source.csv:2,6f4270fb-29c4-47b0-8c23-c27c63e3f1d7
dosen_source.csv:2,588b2e4a-2ecb-422d-8a19-4edff2732428
dosen_source.csv:2,5c30644d-0d7b-47fb-b501-08fcbe9287c8
dosen_source.csv:2,9e00714b-2244-4d49-8ea5-75916c15100c
dosen_source.csv:2,96b65d57-b136-4096-973a-72e30738f370
dosen_source.csv:2,30d18f3f-425e-459e-b4a9-2a39a35320cf
